CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;TITULARIDAD
Madrid-Este;28038151;IES;RAFAEL ALBERTI;Calle De La Virgen De La Cabeza, 29 ;Coslada;-;28821;916691944;916693203;ies.alberti.coslada@educa.madrid.org;-;Público;
Madrid-Sur;28075492;IES;RAFAEL FRÜHBECK DE BURGOS;Calle Humanes De Madrid, 14 ;Leganés;-;28914;913787733;913787186;ies.rafaelfruhbeckdeburgos.leganes@educa.madrid.org;-;Público;
Madrid-Capital;28028672;IES;RAMIRO DE MAEZTU;Calle De Serrano, 127 ;Madrid;Chamartín;28006;915617838;914110865;ies.ramirodemaeztu.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28030150;IES;RAMON Y CAJAL;Avenida De Manoteras, 55 ;Madrid;Hortaleza;28050;917660911;917665080;ies.ramonycajal.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28044719;IES;RAYUELA;Calle Magallanes, 14 ;Móstoles;-;28933;916641407;916640905;ies.rayuela.mostoles@educa.madrid.org;-;Público;
Madrid-Capital;28057271;IES;RENACIMIENTO;Calle De Castellflorite, 4 ;Madrid;Carabanchel;28019;914615211;915256849;ies.renacimiento.madrid@educa.madrid.org;-;Público;
Madrid-Este;28037065;IES;REY FERNANDO VI;Avenida De Irún, S/n ;San Fernando de Henares;-;28830;916730241;916741584;ies.reyfernando.sanfernando@educa.madrid.org;-;Público;
Madrid-Capital;28020624;IES;REY PASTOR;Calle Del Corregidor José De Pasamonte, 17 ;Madrid;Moratalaz;28030;914392661;914371764;ies.reypastor.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28042981;IES;ROSA CHACEL;Calle De Las Huertas, 68 ;Colmenar Viejo;-;28770;918464801;918463646;ies.rosachacel.colmenarviejo@educa.madrid.org;-;Público;
Madrid-Capital;28037028;IES;ROSA CHACEL;Calle De Abizanda, 70 ;Madrid;Hortaleza;28033;913821905;917646902;ies.rosachacel.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28059279;IES;SABINO FERNANDEZ CAMPO;Calle Elisadero, 28 ;Robledo de Chavela;-;28294;918981528;918995876;ies.sabinofernandezcampo.robledo@educa.madrid.org;-;Público;
Madrid-Sur;28039803;IES;SALVADOR ALLENDE;Calle De Andalucía, 12 ;Fuenlabrada;-;28941;916977213;916098879;ies.salvadorallende.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Sur;28038291;IES;SALVADOR DALI;Calle Austria, 7 ;Leganés;-;28916;916862999;916802709;ies.salvadordali.leganes@educa.madrid.org;-;Público;
Madrid-Capital;28039876;IES;SALVADOR DALÍ;Calle De Verdaguer Y García, 2 ;Madrid;Ciudad Lineal;28027;914049490;913264503;ies.salvadordali.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28046339;IES;SAN AGUSTIN DE GUADALIX;Avenida De Félix Rodríguez De La Fuente, S/n ;San Agustín del Guadalix;-;28750;918419346;918419927;ies.sanagustin.sanagustin@educa.madrid.org;-;Público;
Madrid-Capital;28020570;IES;SAN BLAS;Calle De Arcos De Jalón, 120 ;Madrid;San Blas-Canillejas;28037;913061148;913240029;ies.sanblas.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28018472;IES;SAN CRISTOBAL DE LOS ANGELES;Plaza De Los Pinazo, 7 ;Madrid;Villaverde;28021;917972584;915053607;ies.sancristobal.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28019351;IES;SAN FERNANDO;Carretera De Colmenar Viejo, K13.5 ;Madrid;Fuencarral-El Pardo;28049;917353106;917340764;ies.sanfernando.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28034441;IES;SAN ISIDORO DE SEVILLA;Plaza Del Marqués De Comillas, 1 ;Madrid;Chamberí;28040;915330607;915330337;ies.sanisidoro.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28020946;IES;SAN ISIDRO;Calle De Toledo, 39 ;Madrid;Centro;28005;913651271;913656833;ies.sanisidro.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28028465;IES;SAN JUAN BAUTISTA;Calle De San Nemesio, 1 ;Madrid;Ciudad Lineal;28043;914137961;914166908;ies.sanjuanbautista.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28040775;IES;SAN JUAN DE LA CRUZ;Calle San Juan De La Cruz, S/n ;Pozuelo de Alarcón;-;28223;913525380;913527923;ies.sanjuandelacruz.pozuelodealarcon@educa.madrid.org;-;Público;
Madrid-Capital;28030939;IES;SAN MATEO;Calle De La Beneficencia, 4 ;Madrid;Centro;28004;912760274;915235212;ies.sanmateo.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28040738;IES;SAN NICASIO;Paseo De La Ermita, 4 ;Leganés;-;28918;916807752;916801402;ies.sannicasio.leganes@educa.madrid.org;-;Público;
Madrid-Capital;28018368;IES;SANTA ENGRACIA;Calle De Santa Engracia, 13 ;Madrid;Chamberí;28010;914477234;914472290;ies.santaengracia.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28042644;IES;SANTA EUGENIA;Calle Cerro Almodóvar, 5 ;Madrid;Villa de Vallecas;28031;913311623;913322107;ies.santaeugenia.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28018344;IES;SANTA TERESA DE JESUS;Calle Del Fomento, 9 ;Madrid;Centro;28013;915415996;915418034;ies.santateresa.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28018356;IES;SANTAMARCA;Calle De Puerto Rico, 34 ;Madrid;Chamartín;28016;913505122;913450683;ies.santamarca.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28062011;IES;SANTIAGO RUSIÑOL;Calle Alhambra De Granada ;Aranjuez;-;28300;918090245;918754642;ies.santiagorusinol.aranjuez@educa.madrid.org;-;Público;
Madrid-Oeste;28050562;IES;SAPERE AUDE;Avenida De Los Estudiantes, 4 ;Villanueva del Pardillo;-;28229;918151519;918151764;ies.villanuevadelpardillo@educa.madrid.org;-;Público;
Madrid-Sur;28041615;IES;SATAFI;Avenida De Las Ciudades, 104 ;Getafe;-;28903;916830601;916817173;ies.satafi.getafe@educa.madrid.org;-;Público;
Madrid-Este;28045773;IES;SENDA GALIANA;Calle Palmeras, 10 ;Torres de la Alameda;-;28813;918858820;918858436;ies.sendagaliana.torres@educa.madrid.org;-;Público;
Madrid-Norte;28038847;IES;SEVERO OCHOA;Calle De Francisco Chico Mendes, 3 ;Alcobendas;-;28108;916620443;916612579;ies.severoochoa.alcobendas@educa.madrid.org;-;Público;
Madrid-Sur;28050550;IES;SEVILLA LA NUEVA;Calle Ruiseñor, 5 ;Sevilla la Nueva;-;28609;918124066;918124067;ies.sevillalanueva.sevilla@educa.madrid.org;-;Público;
Madrid-Norte;28057751;IES;SIERRA DE GUADARRAMA;Avenida Soto, 1 ;Soto del Real;-;28791;918479299;918477010;ies.sierradeguadarrama.soto@educa.madrid.org;-;Público;
Madrid-Sur;28038306;IES;SIGLO XXI;Calle De La Ingeniería, 1 ;Leganés;-;28918;916806303;916807302;ies.sigloveintiuno.leganes@educa.madrid.org;-;Público;
Madrid-Este;28077890;IES;SIMONE VEIL;Parcela Eq-01 Sector 4 De Miramadrid ;Paracuellos de Jarama;-;-;-;-;ies.simoneveil.paracuellos@educa.madrid.org;-;Público;
Madrid-Sur;28075509;IES;SOR JUANA DE LA CRUZ;Calle Los Almendros, S/n ;Cubas de la Sagra;-;28978;912761412;-;ies.sorjuanadelacruz.cubasdelasagra@educa.madrid.org;-;Público;
Madrid-Capital;28020831;IES;TETUAN DE LAS VICTORIAS;Calle Vía Límite, 14 ;Madrid;Tetuán;28029;913146706;913157489;ies.tetuan.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28019464;IES;TIRSO DE MOLINA;Avenida De La Albufera, 144 ;Madrid;Puente de Vallecas;28038;913033173;913801252;ies.tirsodemolina.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28080050;IES;TORCUATO FERNANDEZ MIRANDA;Avenida De Francia, 163 ;Arroyomolinos;-;28939;-;-;ies.torcuatofdezmiranda.arroyomolinos@educa.madrid.org;-;Público;
Madrid-Capital;28015756;IES;VALDEBERNARDO;Bulevar De Indalecio Prieto, 1 ;Madrid;Vicálvaro;28032;913016099;913016148;ies.valdebernardo.madrid@educa.madrid.org;-;Público;
Madrid-Este;28042681;IES;VALLE INCLAN;Calle Juncal, 14 ;Torrejón de Ardoz;-;28850;916773057;916774289;ies.valleinclan.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Capital;28020648;IES;VALLECAS I;Avenida De La Albufera, 78 ;Madrid;Puente de Vallecas;28038;914773809;914770873;ies.vallecasuno.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28030964;IES;VALLECAS-MAGERIT;Calle De Antonio Folgueras, 27 ;Madrid;Puente de Vallecas;28018;914780023;914781320;ies.magerit.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28045839;IES;VALMAYOR;Calle Paz, 99 ;Valdemorillo;-;28210;918977462;918977789;ies.valmayor.valdemorillo@educa.madrid.org;-;Público;
Madrid-Este;28024290;IES;VEGA DEL JARAMA;Avenida De Irún, 18 ;San Fernando de Henares;-;28830;916739507;916693092;ies.vegadeljarama.sanfernando@educa.madrid.org;-;Público;
Madrid-Sur;28038896;IES;VELAZQUEZ;Calle Del Pintor Velázquez, 25 ;Móstoles;-;28935;916170563;916175923;ies.velazquez.mostoles@educa.madrid.org;-;Público;
Madrid-Sur;28026031;IES;VICENTE ALEIXANDRE;Calle Asturias, 20 ;Pinto;-;28320;916910012;916922864;ies.vicentealeixand.pinto@educa.madrid.org;-;Público;
Madrid-Sur;28042991;IES;VICTORIA KENT;Camino Polvoranca, S/n ;Fuenlabrada;-;28942;916084625;916490013;ies.victoriakent.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Este;28037077;IES;VICTORIA KENT;Calle Plata, 85 ;Torrejón de Ardoz;-;28850;916560079;916773835;ies.victoriakent.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Sur;28038926;IES;VILLA DE VALDEMORO;Calle Herencia, S/n ;Valdemoro;-;28341;918018490;918953396;ies.villadevaldemoro.valdemoro@educa.madrid.org;-;Público;
Madrid-Capital;28040751;IES;VILLA DE VALLECAS;Calle De Villarino De Los Aires, 14 ;Madrid;Villa de Vallecas;28031;917774715;913802465;ies.villadevallecas.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28039891;IES;VILLABLANCA;Calle De Villablanca, 79 ;Madrid;Vicálvaro;28032;917752214;917766577;ies.villablanca.madrid@educa.madrid.org;-;Público;
Madrid-Este;28045049;IES;VILLAREJO DE SALVANÉS;Avenida De Santa Elena, S/n ;Villarejo de Salvanés;-;28590;918744960;918742210;ies.villarejo@educa.madrid.org;-;Público;
Madrid-Capital;28062126;IES;VILLAVERDE;Calle De La Alianza, 20-24 ;Madrid;Villaverde;28041;917239181;913182904;ies.villaverde.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28020341;IES;VIRGEN DE LA PALOMA;Calle De Francos Rodríguez, 106 ;Madrid;Moncloa-Aravaca;28039;913980300;914507310;ies.lapaloma.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28038070;IES;VIRGEN DE LA PAZ;Calle De Francisco Chico Mendes, 4 ;Alcobendas;-;28108;916615943;916618291;ies.lapaz.alcobendas@educa.madrid.org;-;Público;
Madrid-Capital;28021008;IES;VISTA ALEGRE;Calle Del General Ricardos, 177 ;Madrid;Carabanchel;28025;914628600;915258200;ies.vistaalegre.madrid@educa.madrid.org;-;Público;
